Controller,Noise_Type,Configuration,Frequency_Limit_Hz,MAE,RMSE
Standard,white,No noise,0.25,2.851,4.139
Standard,white,No noise,0.5,5.766,7.348
Standard,white,No noise,0.75,8.21,10.48
Standard,white,No noise,1.0,11.024,13.965
Standard,white,No noise,2.0,23.511,29.483
Standard,white,No noise,3.0,38.162,47.839
Standard,white,No noise,5.0,67.158,84.43
Standard,white,No noise,7.5,67.158,84.43
Standard,white,No noise,10.0,67.158,84.43
Standard,white,Delay only,0.25,11.579,16.23
Standard,white,Delay only,0.5,23.219,31.642
Standard,white,Delay only,0.75,32.275,43.969
Standard,white,Delay only,1.0,41.367,54.855
Standard,white,Delay only,2.0,60.844,77.124
Standard,white,Delay only,3.0,63.869,80.775
Standard,white,Delay only,5.0,65.198,81.714
Standard,white,Delay only,7.5,65.198,81.714
Standard,white,Delay only,10.0,65.198,81.714
Standard,white,Sensor noise only,0.25,2.928,4.2
Standard,white,Sensor noise only,0.5,5.791,7.384
Standard,white,Sensor noise only,0.75,8.229,10.501
Standard,white,Sensor noise only,1.0,11.033,13.973
Standard,white,Sensor noise only,2.0,23.521,29.49
Standard,white,Sensor noise only,3.0,38.157,47.839
Standard,white,Sensor noise only,5.0,67.161,84.426
Standard,white,Sensor noise only,7.5,67.161,84.426
Standard,white,Sensor noise only,10.0,67.161,84.426
Standard,white,Delay + Sensor noise,0.25,11.6,16.245
Standard,white,Delay + Sensor noise,0.5,23.233,31.656
Standard,white,Delay + Sensor noise,0.75,32.27,43.966
Standard,white,Delay + Sensor noise,1.0,41.369,54.849
Standard,white,Delay + Sensor noise,2.0,60.843,77.123
Standard,white,Delay + Sensor noise,3.0,63.86,80.775
Standard,white,Delay + Sensor noise,5.0,65.196,81.707
Standard,white,Delay + Sensor noise,7.5,65.196,81.707
Standard,white,Delay + Sensor noise,10.0,65.196,81.707
Standard,pink,No noise,0.25,0.89,3.104
Standard,pink,No noise,0.5,1.577,3.63
Standard,pink,No noise,0.75,2.119,4.153
Standard,pink,No noise,1.0,2.704,4.848
Standard,pink,No noise,2.0,5.365,8.163
Standard,pink,No noise,3.0,8.43,12.241
Standard,pink,No noise,5.0,13.962,20.02
Standard,pink,No noise,7.5,14.215,20.222
Standard,pink,No noise,10.0,14.22,20.234
Standard,pink,Delay only,0.25,3.491,7.41
Standard,pink,Delay only,0.5,6.073,10.406
Standard,pink,Delay only,0.75,8.071,13.195
Standard,pink,Delay only,1.0,10.421,16.24
Standard,pink,Delay only,2.0,14.895,22.022
Standard,pink,Delay only,3.0,16.677,23.897
Standard,pink,Delay only,5.0,18.26,26.29
Standard,pink,Delay only,7.5,18.048,26.022
Standard,pink,Delay only,10.0,17.985,25.921
Standard,pink,Sensor noise only,0.25,1.142,3.189
Standard,pink,Sensor noise only,0.5,1.733,3.685
Standard,pink,Sensor noise only,0.75,2.283,4.212
Standard,pink,Sensor noise only,1.0,2.831,4.918
Standard,pink,Sensor noise only,2.0,5.488,8.271
Standard,pink,Sensor noise only,3.0,8.441,12.244
Standard,pink,Sensor noise only,5.0,13.899,20.004
Standard,pink,Sensor noise only,7.5,14.066,20.096
Standard,pink,Sensor noise only,10.0,14.556,20.609
Standard,pink,Delay + Sensor noise,0.25,3.608,7.283
Standard,pink,Delay + Sensor noise,0.5,5.919,10.255
Standard,pink,Delay + Sensor noise,0.75,8.085,13.138
Standard,pink,Delay + Sensor noise,1.0,10.028,16.139
Standard,pink,Delay + Sensor noise,2.0,15.322,22.315
Standard,pink,Delay + Sensor noise,3.0,16.853,24.298
Standard,pink,Delay + Sensor noise,5.0,18.877,26.809
Standard,pink,Delay + Sensor noise,7.5,17.983,26.024
Standard,pink,Delay + Sensor noise,10.0,18.109,25.963
MPC,white,No noise,0.25,3.909,5.772
MPC,white,No noise,0.5,7.233,9.289
MPC,white,No noise,0.75,11.17,14.148
