Controller,Noise_Type,Configuration,Frequency_Limit_Hz,MAE,RMSE,MAE_Std,RMSE_Std
Baseline,pink,Delay + Sensor noise,0.25,3.435410266653963,7.182268091350203,0.8769224455930228,1.1187675156817303
Baseline,pink,Delay + Sensor noise,0.5,6.09615060059386,10.423190509658916,1.8761169392489896,2.7268988736517445
Baseline,pink,Delay + Sensor noise,0.75,8.247475820929191,13.242833622847135,2.4116192662722034,3.5373010609151416
Baseline,pink,Delay + Sensor noise,1.0,10.61703085264414,16.818616695109835,3.412846573741837,4.920822859326895
Baseline,pink,Delay + Sensor noise,2.0,14.848796915335708,21.97641063666848,4.1394670752168,6.397901295368746
Baseline,pink,Delay + Sensor noise,3.0,16.95571914058163,24.40478387044569,5.025278725972508,7.288299765258811
Baseline,pink,Delay + Sensor noise,5.0,18.089880046991624,26.054344839676816,4.978526116725982,7.601410583534715
Baseline,pink,Delay + Sensor noise,7.5,18.019269042421108,26.03080293495471,5.179179463774621,7.6468387002363505
Baseline,pink,Delay + Sensor noise,10.0,18.022546912969172,25.921756103791466,5.040254827275811,7.5131842788119725
Baseline,pink,Delay only,0.25,3.426638823752728,7.317145464484402,0.9558088542906353,1.2993161211300648
Baseline,pink,Delay only,0.5,5.925809708472904,10.350424855444832,1.8039035475445226,2.7547613492258405
Baseline,pink,Delay only,0.75,8.044033553913232,13.1862143863574,2.2937140644052687,3.5943546026850415
Baseline,pink,Delay only,1.0,10.746486052462707,16.83564800969076,3.5872232752294817,5.300811813286599
Baseline,pink,Delay only,2.0,15.603295044522856,22.759528110874285,5.054367065963991,7.134344632480871
Baseline,pink,Delay only,3.0,17.475039385993178,25.021988850677026,5.876464065172318,7.874053976346567
Baseline,pink,Delay only,5.0,18.2738328476352,26.289287819157813,5.028498174272694,7.481495707104669
Baseline,pink,Delay only,7.5,18.777428796520134,26.647107699954383,5.729561745652912,7.838345815868944
Baseline,pink,Delay only,10.0,18.254709157916096,26.068454986500104,5.2391283780097035,7.495541258928361
Baseline,pink,No noise,0.25,0.8919247894251944,3.114863988145676,0.23938185678240612,0.4326422306445133
Baseline,pink,No noise,0.5,1.5450981559529473,3.620389277177914,0.43843250852190696,0.529684838031447
Baseline,pink,No noise,0.75,2.1313089182048435,4.151304907219525,0.6164296027964734,0.7855547345039327
Baseline,pink,No noise,1.0,2.8457633437495544,4.948389787991091,0.9203903299370336,1.138883028291869
Baseline,pink,No noise,2.0,5.224833240550468,8.051693298003613,1.5448219119247173,2.2697535422815234
Baseline,pink,No noise,3.0,8.31219501513134,12.116874545445686,2.501048537511199,3.5724030385675465
Baseline,pink,No noise,5.0,14.730083676824648,20.903957171706992,4.8518134428400845,6.5764850173269975
Baseline,pink,No noise,7.5,14.118740107929046,20.125905626059335,4.035185932239716,5.875053454508761
Baseline,pink,No noise,10.0,13.95103407373808,20.017463191290876,3.9329021395716386,5.84501075582182
Baseline,pink,Sensor noise only,0.25,1.1428687630187162,3.187364192557715,0.20398427281528936,0.4162655837276655
Baseline,pink,Sensor noise only,0.5,1.7162097586290816,3.718305883864539,0.4108782930764079,0.5070686454591484
Baseline,pink,Sensor noise only,0.75,2.303775581688666,4.269554037730463,0.6095873185032966,0.7880780913917677
Baseline,pink,Sensor noise only,1.0,2.8206181789527234,4.9085596572915104,0.7709751621649149,1.0918197369536433
Baseline,pink,Sensor noise only,2.0,5.508295391706815,8.253032182141135,1.7322335914779292,2.341161458421304
Baseline,pink,Sensor noise only,3.0,8.529113876965791,12.391677943260339,2.756901957580834,3.7975344627634766
Baseline,pink,Sensor noise only,5.0,13.895663096738298,20.00402198951229,3.8919433355325244,5.82742546159227
Baseline,pink,Sensor noise only,7.5,14.003379195966437,20.0486097699128,3.945391187773209,5.846314231351728
Baseline,pink,Sensor noise only,10.0,14.326325050240746,20.304210730804535,4.215761842831023,5.956331786708281
Baseline,white,Delay + Sensor noise,0.25,11.599651988722794,16.245461071036676,1.0113626542377283,1.4738039955350999
Baseline,white,Delay + Sensor noise,0.5,23.23308699723702,31.65585365916552,1.1029423910421816,1.8459656928818544
Baseline,white,Delay + Sensor noise,0.75,32.269859855335675,43.96579637921813,1.4286023945668456,1.783036537526528
Baseline,white,Delay + Sensor noise,1.0,41.36935600511664,54.84942889760406,1.9168557209774948,2.6027599616881405
Baseline,white,Delay + Sensor noise,2.0,60.84283189979574,77.12301268511793,1.379193435188086,1.4573047405003763
Baseline,white,Delay + Sensor noise,3.0,63.86049201032934,80.775415702025,1.718574539725007,2.0782999171524166
Baseline,white,Delay + Sensor noise,5.0,65.19563037227493,81.70664786010119,1.823259238484959,2.323795992837669
Baseline,white,Delay + Sensor noise,7.5,65.19563037227493,81.70664786010119,1.823259238484959,2.323795992837669
Baseline,white,Delay + Sensor noise,10.0,65.19563037227493,81.70664786010119,1.823259238484959,2.323795992837669
Baseline,white,Delay only,0.25,11.579005035907631,16.23007883955128,1.0110895408754976,1.4653123774475902
Baseline,white,Delay only,0.5,23.219496797460817,31.642024595828065,1.110333712126215,1.839437325479761
Baseline,white,Delay only,0.75,32.27475913432063,43.969244315566144,1.429015311919797,1.7762695846695833
Baseline,white,Delay only,1.0,41.36711131208892,54.85516307030309,1.9120403694848203,2.594903672136634
Baseline,white,Delay only,2.0,60.84446379346171,77.12429351762702,1.374518435587765,1.4470959998874624
Baseline,white,Delay only,3.0,63.868714417187505,80.7748113827114,1.7047535133881813,2.0687640126447846
Baseline,white,Delay only,5.0,65.19835865151512,81.71390979843723,1.819226878720924,2.3182024990453285
Baseline,white,Delay only,7.5,65.19835865151512,81.71390979843723,1.819226878720924,2.3182024990453285
Baseline,white,Delay only,10.0,65.19835865151512,81.71390979843723,1.819226878720924,2.3182024990453285
Baseline,white,No noise,0.25,2.8282059861727658,4.088659955258054,0.18440577597984115,0.5521161595940368
Baseline,white,No noise,0.5,5.765526548583954,7.348057637573049,0.28080931106225165,0.35820773567288156
Baseline,white,No noise,0.75,8.210282426365609,10.47954473002556,0.38575685592052217,0.43359920916447137
Baseline,white,No noise,1.0,11.023677490470806,13.964615162616017,0.5574512795340646,0.7611145230979676
Baseline,white,No noise,2.0,23.511178953488074,29.482578695646417,0.8838186722173502,0.8848206857524642
Baseline,white,No noise,3.0,38.16239570550503,47.838615026002216,1.1608594457095378,1.4362668048981184
Baseline,white,No noise,5.0,67.15802234202803,84.4299917627434,1.5291694487640846,1.5819268463769502
Baseline,white,No noise,7.5,67.15802234202803,84.4299917627434,1.5291694487640846,1.5819268463769502
Baseline,white,No noise,10.0,67.15802234202803,84.4299917627434,1.5291694487640846,1.5819268463769502
Baseline,white,Sensor noise only,0.25,2.9282005263033475,4.200325928554842,0.21434239414379266,0.5453859592779188
Baseline,white,Sensor noise only,0.5,5.790651564817196,7.3840295640772045,0.2764676225171983,0.35866692241042025
Baseline,white,Sensor noise only,0.75,8.229242321708593,10.500640051424506,0.3849630109146459,0.4320508776703295
Baseline,white,Sensor noise only,1.0,11.032731829604213,13.972522392100014,0.5639898201342196,0.7587736730582283
Baseline,white,Sensor noise only,2.0,23.521248376427398,29.489617934548715,0.8818581390141933,0.8872277871611908
Baseline,white,Sensor noise only,3.0,38.15732210376866,47.83873862114069,1.164103939423463,1.4389590670915258
Baseline,white,Sensor noise only,5.0,67.16115405534183,84.42594659829291,1.5304285384761631,1.585284803379018
Baseline,white,Sensor noise only,7.5,67.16115405534183,84.42594659829291,1.5304285384761631,1.585284803379018
Baseline,white,Sensor noise only,10.0,67.16115405534183,84.42594659829291,1.5304285384761631,1.585284803379018
DeePC,pink,Delay + Sensor noise,0.25,3.760762287602936,8.91577609055,1.1828557370770858,1.8011269504270158
DeePC,pink,Delay + Sensor noise,0.5,6.1098469126603465,11.74402750296627,2.3788986763651643,3.2424938945153485
DeePC,pink,Delay + Sensor noise,0.75,7.95992656436511,14.047142237069759,2.495329048424283,4.027408258267433
DeePC,pink,Delay + Sensor noise,1.0,9.218054003040926,15.536061470544832,3.092375812954243,5.156147788417095
DeePC,pink,Delay + Sensor noise,2.0,13.05050226816689,20.220178067830215,4.27286274112587,7.320824583283309
DeePC,pink,Delay + Sensor noise,3.0,14.339096333861486,22.007580342863164,4.355416213869133,7.463562887046857
DeePC,pink,Delay + Sensor noise,5.0,16.173328177163445,23.793203986778295,5.550824387526467,8.132083289257748
DeePC,pink,Delay + Sensor noise,7.5,16.177786548709598,23.975975422549354,5.394293257425148,8.858893875702742
DeePC,pink,Delay + Sensor noise,10.0,15.938862277736883,23.78777417193906,4.919843828112364,7.961407025740679
DeePC,pink,Delay only,0.25,3.5192268859299913,9.126746838843154,1.1166141803006242,1.7204684430621044
DeePC,pink,Delay only,0.5,5.42878993815095,10.751657441610533,1.7854727252943898,2.601615585491764
DeePC,pink,Delay only,0.75,7.322341539811157,13.043862488113925,2.3730530601733646,3.9101804046551347
